site,date,time,datetime,water_temp_C,air_temp_C,fecal_coliform_cfu_100mL,enterococcus_mpn_100mL,pH,turbidity_NTU,conductivity_mS_cm,wind_velocity_kph,tide_range_m,weather_code_wmo4501,wind_direction_deg
Kenai River Gull Rookery 1,2019-05-21,07:35:00,2019-05-21T07:35:00Z,8.4,7.222222222222222,5,1,NA,NA,NA,17.702784,5.638800000000001,1,0
Kenai River Gull Rookery 1,2019-05-29,04:49:00,2019-05-29T04:49:00Z,NA,6.666666666666666,NA,NA,NA,NA,NA,4.828032,2.923032,1,0
Kenai River Gull Rookery 1,2019-05-29,04:59:00,2019-05-29T04:59:00Z,9,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Kenai River Gull Rookery 1,2019-06-04,06:57:00,2019-06-04T06:57:00Z,9.3,10.555555555555555,8,6,NA,NA,NA,4.828032,5.315712,1,270
Kenai River Gull Rookery 1,2019-06-11,10:51:00,2019-06-11T10:51:00Z,11,15,46,20,NA,NA,NA,17.702784,4.858512,0,270
Kenai River Gull Rookery 1,2019-06-18,07:43:00,2019-06-18T07:43:00Z,11.5,NA,25,23,NA,NA,NA,NA,NA,NA,NA
Kenai River Gull Rookery 1,2019-06-18,07:45:00,2019-06-18T07:45:00Z,NA,11.11111111111111,NA,NA,NA,NA,NA,22.530816,5.2486559999999995,1,270
Kenai River Gull Rookery 1,2019-06-25,09:10:00,2019-06-25T09:10:00Z,13.7,15.4,7,NA,NA,NA,NA,16.09344,3.462528,1,NA
Kenai River Gull Rookery 1,2019-07-02,05:55:00,2019-07-02T05:55:00Z,14.7,10.555555555555555,49,34,NA,NA,NA,0,4.788408,1,NA
Kenai River Gull Rookery 1,2019-07-09,09:11:00,2019-07-09T09:11:00Z,17.8,16.666666666666668,49,13,NA,NA,NA,12.874752,5.556504,4,270
Kenai River Gull Rookery 1,2019-07-17,07:50:00,2019-07-17T07:50:00Z,13.1,12.222222222222221,16,1,NA,NA,NA,8.04672,4.968240000000001,1,90
Kenai River Gull Rookery 1,2019-07-23,10:20:00,2019-07-23T10:20:00Z,15,16.11111111111111,4.5,2,NA,NA,NA,24.14016,4.25196,1,270
Kenai River Gull Rookery 1,2019-08-01,08:25:00,2019-08-01T08:25:00Z,NA,12.777777777777777,4,5,NA,NA,NA,11.265408,5.614416000000001,1,270
Kenai River Gull Rookery 1,2019-08-06,09:10:00,2019-08-06T09:10:00Z,15.9,18.333333333333332,65,10,NA,NA,NA,19.312128,6.702552,0,180
Kenai River Gull Rookery 1,2019-08-20,08:55:00,2019-08-20T08:55:00Z,9.8,NA,12,6,NA,NA,NA,4.828032,5.443728,4,NA
Kenai River Gull Rookery 1,2019-09-04,09:14:00,2019-09-04T09:14:00Z,13.5,14,225,73,NA,NA,NA,8.04672,7.296912000000001,1,NA
