"Year","Location","Bacteria","Date","Individual Sample Value","30 Day Rolling Geometric Mean Value","Individual Sample Value Exceedance","30 Day Geometric Mean Exceedance"
2020,"Kenai River Gull Rookery 1","Enterococci",2020-05-26,0.5,"   NA","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-06-04,10,"   NA","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-06-09,3,"   NA","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-06-18,4,"   NA","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-06-23,13,"   NA","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-06-29,16,"  7.6","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-07-07,18,"  8.5","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-07-13,1,"  6.8","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-07-20,32," 10.4","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-07-27,6,"  8.9","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-08-05,11,"  8.2","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-08-11,0.5,"  4.0","",""
2020,"Kenai River Gull Rookery 1","Enterococci",2020-08-18,37,"  8.3","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-05-26,0.5,"   NA","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-06-04,4,"   NA","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-06-09,0.5,"   NA","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-06-18,13,"   NA","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-06-23,14,"   NA","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-06-29,0.5,"  2.8","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-07-07,22,"  4.0","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-07-13,0.5,"  4.0","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-07-20,24,"  4.5","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-07-27,3,"  3.3","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-08-05,8,"  5.8","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-08-11,2,"  3.6","",""
2020,"Kenai River Gull Rookery 2","Enterococci",2020-08-18,33,"  8.2","",""
2020,"North Kenai Beach 4","Enterococci",2020-05-26,2,"   NA","",""
2020,"North Kenai Beach 4","Enterococci",2020-06-04,27,"   NA","",""
2020,"North Kenai Beach 4","Enterococci",2020-06-09,8,"   NA","",""
2020,"North Kenai Beach 4","Enterococci",2020-06-18,13,"   NA","",""
2020,"North Kenai Beach 4","Enterococci",2020-06-23,18,"   NA","",""
2020,"North Kenai Beach 4","Enterococci",2020-06-29,2," 10.0","",""
2020,"North Kenai Beach 4","Enterococci",2020-07-07,4,"  6.8","",""
2020,"North Kenai Beach 4","Enterococci",2020-07-13,5,"  6.2","",""
2020,"North Kenai Beach 4","Enterococci",2020-07-20,6,"  5.3","",""
2020,"North Kenai Beach 4","Enterococci",2020-07-27,0.5,"  2.6","",""
2020,"North Kenai Beach 4","Enterococci",2020-08-05,38,"  4.7","",""
2020,"North Kenai Beach 4","Enterococci",2020-08-11,8,"  5.4","",""
2020,"North Kenai Beach 4","Enterococci",2020-08-18,23,"  7.3","",""
2020,"South Kenai Beach 3","Enterococci",2020-05-26,2,"   NA","",""
2020,"South Kenai Beach 3","Enterococci",2020-06-04,50,"   NA","",""
2020,"South Kenai Beach 3","Enterococci",2020-06-09,6,"   NA","",""
2020,"South Kenai Beach 3","Enterococci",2020-06-18,38,"   NA","",""
2020,"South Kenai Beach 3","Enterococci",2020-06-23,25,"   NA","",""
2020,"South Kenai Beach 3","Enterococci",2020-06-29,38," 25.5","",""
2020,"South Kenai Beach 3","Enterococci",2020-07-07,3," 14.5","",""
2020,"South Kenai Beach 3","Enterococci",2020-07-13,178," 28.6","> 130",""
2020,"South Kenai Beach 3","Enterococci",2020-07-20,87," 33.8","",""
2020,"South Kenai Beach 3","Enterococci",2020-07-27,4," 23.4","",""
2020,"South Kenai Beach 3","Enterococci",2020-08-05,178," 31.9","> 130",""
2020,"South Kenai Beach 3","Enterococci",2020-08-11,9," 39.7","","> 35"
2020,"South Kenai Beach 3","Enterococci",2020-08-18,96," 35.1","","> 35"
2020,"Warren Ames Bridge","Enterococci",2020-05-26,1,"   NA","",""
2020,"Warren Ames Bridge","Enterococci",2020-06-04,6,"   NA","",""
2020,"Warren Ames Bridge","Enterococci",2020-06-09,2,"   NA","",""
2020,"Warren Ames Bridge","Enterococci",2020-06-18,1,"   NA","",""
2020,"Warren Ames Bridge","Enterococci",2020-06-23,2,"   NA","",""
2020,"Warren Ames Bridge","Enterococci",2020-06-29,1,"  1.9","",""
2020,"Warren Ames Bridge","Enterococci",2020-07-07,3,"  1.6","",""
2020,"Warren Ames Bridge","Enterococci",2020-07-13,2,"  1.6","",""
2020,"Warren Ames Bridge","Enterococci",2020-07-20,1,"  1.6","",""
