"Location","Year","Bacteria","Date","30 Day Geometric Mean Value","Individual Sample Value","30 Day Geometric Mean Exceedence","10% of Individual Samples in Prior 30 Days Exceedence"
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-06-04,"",6,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-06-11,"",20,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-06-18,"",23,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-07-02,"",34,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-07-09," 21.2",13,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-07-17," 10.0",1,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-07-23,"  5.5",2,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-08-01,"  3.4",5,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-08-06,"  4.2",10,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-08-20,"  4.9",6,"",""
"Kenai River Gull Rookery 1",2019,"Enterococci",2019-09-04," 16.4",73,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-05-26,"",0.5,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-06-04,"",10,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-06-09,"",3,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-06-18,"",4,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-06-23,"",13,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-06-29,"  7.6",16,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-07-07,"  8.5",18,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-07-13,"  6.8",1,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-07-20," 10.4",32,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-07-27,"  8.9",6,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-08-05,"  8.2",11,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-08-11,"  4.0",0.5,"",""
"Kenai River Gull Rookery 1",2020,"Enterococci",2020-08-18,"  8.3",37,"",""
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-05-21,"",5,"",""
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-05-29,"",5,"",""
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-06-04,"",8,"",""
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-06-11,"",46,"",""
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-06-18,"",25,"",""
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-06-25," 12.6",7,"","> 31"
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-07-02," 19.9",49,"> 14","> 31"
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-07-09," 28.7",49,"> 14","> 31"
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-07-17," 23.2",16,"> 14","> 31"
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-07-23," 16.5",4.5,"> 14","> 31"
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-08-01," 10.9",4,"","> 31"
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-08-06," 15.6",65,"> 14","> 31"
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-08-20," 10.9",12,"","> 31"
"Kenai River Gull Rookery 1",2019,"Fecal Coliform",2019-09-04," 56.0",225,"> 14","> 31"
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-05-26,"",1,"",""
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-06-04,"",12,"",""
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-06-09,"",9.3,"",""
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-06-18,"",38,"",""
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-06-23,"",62,"",""
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-06-29," 38.2",310,"> 14","> 31"
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-07-07," 56.4",84,"> 14","> 31"
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-07-13," 63.6",17,"> 14","> 31"
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-07-20," 94.9",280,"> 14","> 31"
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-07-27," 91.6",52,"> 14","> 31"
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-08-05," 65.3",57,"> 14","> 31"
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-08-11," 33.5",3,"> 14","> 31"
"Kenai River Gull Rookery 1",2020,"Fecal Coliform",2020-08-18," 45.2",76,"> 14","> 31"
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-05-21,"",1,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-05-29,"",2,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-06-11,"",1,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-06-18,"",17,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-06-25,"  3.2",3,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-07-02,"  7.1",50,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-07-09,"  8.4",16,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-07-17," 14.7",17,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-07-23," 12.0",6,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-08-01," 14.9",30,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-08-06," 12.0",5,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-08-20," 11.9",22,"",""
"Kenai River Gull Rookery 2",2019,"Enterococci",2019-09-04,"  9.6",8,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-05-26,"",0.5,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-06-04,"",4,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-06-09,"",0.5,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-06-18,"",13,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-06-23,"",14,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-06-29,"  2.8",0.5,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-07-07,"  4.0",22,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-07-13,"  4.0",0.5,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-07-20,"  4.5",24,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-07-27,"  3.3",3,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-08-05,"  5.8",8,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-08-11,"  3.6",2,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-08-18,"  8.2",33,"",""
