"Date","Location","Dog Feces","Gull Feces","Human Feces"
2019-06-04,"Kenai River Gull Rookery 1","ND","3610","DNQ"
2019-06-04,"Kenai River Gull Rookery 2","ND","2140","ND"
2019-06-04,"North Kenai Beach 4","4660","965","ND"
2019-06-04,"South Kenai Beach 3","1210","1380","ND"
2019-06-04,"Warren Ames Bridge","ND","1680","DNQ"
2019-08-08,"Kenai River Gull Rookery 1","ND","3040","525"
2019-08-08,"Kenai River Gull Rookery 2","DNQ","9010","DNQ"
2019-08-08,"North Kenai Beach 4","ND","11600","DNQ"
2019-08-08,"South Kenai Beach 3","ND","28200","DNQ"
2019-08-08,"Warren Ames Bridge","DNQ","2920","DNQ"
2020-06-23,"Kenai River Gull Rookery 1","ND","3320","ND"
2020-06-23,"Kenai River Gull Rookery 2","ND","3300","ND"
2020-06-23,"North Kenai Beach 4","ND","688","ND"
2020-06-23,"South Kenai Beach 3","ND","DNQ","ND"
2020-06-23,"Warren Ames Bridge","DNQ","DNQ","ND"
2020-07-20,"Kenai River Gull Rookery 1","ND","8050","DNQ"
2020-07-20,"Kenai River Gull Rookery 2","ND","8550","629"
2020-07-20,"North Kenai Beach 4","DNQ","1590","1140"
2020-07-20,"South Kenai Beach 3","DNQ","13100","1220"
2020-07-20,"Warren Ames Bridge","ND","5210","DNQ"
