"Year","Location","Bacteria","Date","Individual Sample Value","30 Day Rolling Geometric Mean Value","Individual Sample Value Exceedence","30 Day Geometric Mean Exceedence"
2019,"Kenai River Gull Rookery 1","Enterococci",2019-06-04,6,"   NA","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-06-11,20,"   NA","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-06-18,23,"   NA","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-07-02,34,"   NA","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-07-09,13," 21.2","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-07-17,1," 10.0","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-07-23,2,"  5.5","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-08-01,5,"  3.4","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-08-06,10,"  4.2","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-08-20,6,"  4.9","",""
2019,"Kenai River Gull Rookery 1","Enterococci",2019-09-04,73," 16.4","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-05-21,1,"   NA","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-05-29,2,"   NA","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-06-11,1,"   NA","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-06-18,17,"   NA","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-06-25,3,"  3.2","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-07-02,50,"  7.1","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-07-09,16,"  8.4","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-07-17,17," 14.7","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-07-23,6," 12.0","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-08-01,30," 14.9","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-08-06,5," 12.0","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-08-20,22," 11.9","",""
2019,"Kenai River Gull Rookery 2","Enterococci",2019-09-04,8,"  9.6","",""
2019,"North Kenai Beach 4","Enterococci",2019-05-21,1,"   NA","",""
2019,"North Kenai Beach 4","Enterococci",2019-05-29,6,"   NA","",""
