site,date,time,datetime,water_temp_C,air_temp_C,fecal_coliform_cfu_100mL,enterococcus_mpn_100mL,pH,turbidity_NTU,conductivity_mS_cm,wind_velocity_kph,tide_range_m,weather_code_wmo4501,wind_direction_deg
North Kenai Beach site 4,2012-06-25,06:30:00,2012-06-25T06:30:00Z,10.7,11.11111111111111,160,120,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2012-06-27,08:09:00,2012-06-27T08:09:00Z,10.6,8.88888888888889,11,10,7.73,67,6238,NA,NA,NA,NA
North Kenai Beach site 4,2012-06-27,08:09:00,2012-06-27T08:09:00Z,10.6,8.88888888888889,5.7,20,7.73,67,6238,NA,NA,NA,NA
North Kenai Beach site 4,2012-07-09,04:35:00,2012-07-09T16:35:00Z,10.78,11,8.6,10,7.63,58.2,474.8,NA,NA,NA,NA
North Kenai Beach site 4,2012-07-09,04:35:00,2012-07-09T16:35:00Z,10.78,11,17,10,7.63,58.2,474.8,NA,NA,NA,NA
North Kenai Beach site 4,2012-07-10,07:25:00,2012-07-10T07:25:00Z,10.7,10.555555555555555,8.6,10,7.42,157.8,26000,NA,NA,NA,NA
North Kenai Beach site 4,2012-07-15,12:15:00,2012-07-15T12:15:00Z,9.54,12.222222222222221,2.9,52,7.54,61.8,1130,NA,NA,NA,NA
North Kenai Beach site 4,2012-07-22,04:25:00,2012-07-22T04:25:00Z,12.1,12.777777777777777,11,NA,7.93,1105,36513,NA,NA,NA,NA
North Kenai Beach site 4,2012-07-22,04:25:00,2012-07-22T04:25:00Z,12.1,12.777777777777777,8.6,NA,7.93,1105,36513,NA,NA,NA,NA
North Kenai Beach site 4,2012-07-25,06:10:00,2012-07-25T06:10:00Z,9.36,8.88888888888889,8.6,41,7.8,271.1,6400,NA,NA,NA,NA
North Kenai Beach site 4,2012-07-29,11:27:00,2012-07-29T11:27:00Z,16.65,16.666666666666668,2.9,20,8.07,118.2,8147,NA,NA,NA,NA
North Kenai Beach site 4,2012-08-01,01:37:00,2012-08-01T13:37:00Z,12.99,16.666666666666668,60,3800,7.84,525.9,4847,NA,NA,NA,NA
North Kenai Beach site 4,2012-08-05,05:38:00,2012-08-05T05:38:00Z,12.03,9.444444444444445,2.9,NA,7.99,100.5,38439,NA,NA,NA,NA
North Kenai Beach site 4,2012-08-07,05:35:00,2012-08-07T05:35:00Z,11.67,8.88888888888889,2.9,NA,7.65,350.6,31363,NA,NA,NA,NA
North Kenai Beach site 4,2012-08-12,10:30:00,2012-08-12T10:30:00Z,12.26,15,12,20,8.04,NA,675.9,NA,NA,NA,NA
North Kenai Beach site 4,2013-06-19,10:26:00,2013-06-19T10:26:00Z,14.3,15,8.6,20,7.5,163,1047,NA,NA,NA,NA
North Kenai Beach site 4,2013-06-23,09:02:00,2013-06-23T09:02:00Z,8.5,14.5,11,NA,8.12,58.3,6587,NA,NA,NA,NA
North Kenai Beach site 4,2013-06-30,08:01:00,2013-06-30T08:01:00Z,10.7,12,330,31,7.91,266.4,5930,NA,NA,NA,NA
North Kenai Beach site 4,2013-07-07,10:05:00,2013-07-07T10:05:00Z,9.3,11.11111111111111,23,41,7.88,66.8,2567,NA,NA,NA,NA
North Kenai Beach site 4,2013-07-10,11:45:00,2013-07-10T11:45:00Z,10.1,15,23,20,7.67,116,2059,NA,NA,NA,NA
North Kenai Beach site 4,2013-07-10,11:46:00,2013-07-10T11:46:00Z,NA,NA,31,10,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2013-07-14,06:57:00,2013-07-14T06:57:00Z,12.8,12,17,31,8.15,631,34330,NA,NA,NA,NA
North Kenai Beach site 4,2013-07-21,04:30:00,2013-07-21T04:30:00Z,13.4,8.88888888888889,500,4100,8.03,134.9,4516,NA,NA,NA,NA
North Kenai Beach site 4,2013-07-24,08:10:00,2013-07-24T08:10:00Z,13.7,14,110,130,8.15,57.2,23786,NA,NA,NA,NA
North Kenai Beach site 4,2013-07-24,08:11:00,2013-07-24T08:11:00Z,NA,NA,160,160,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2013-07-28,08:40:00,2013-07-28T08:40:00Z,14.7,17.6,11,31,8.18,62.8,36065,NA,NA,NA,NA
North Kenai Beach site 4,2013-08-04,10:55:00,2013-08-04T10:55:00Z,13.5,14,54,75,8.06,72.1,821.6,NA,NA,NA,NA
North Kenai Beach site 4,2013-08-06,11:10:00,2013-08-06T11:10:00Z,13,NA,54,75,8.06,87.4,1406,NA,NA,NA,NA
North Kenai Beach site 4,2013-08-06,11:10:00,2013-08-06T11:10:00Z,13,NA,60,10,8.06,87.4,1406,NA,NA,NA,NA
North Kenai Beach site 4,2013-08-11,05:37:00,2013-08-11T05:37:00Z,12.7,9,8.6,20,8.18,77.9,38143,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-07,10:37:00,2014-07-07T10:37:00Z,13.51,NA,NA,NA,NA,66.5,10299,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-07,10:40:00,2014-07-07T10:40:00Z,NA,NA,57,20,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-07,10:40:00,2014-07-07T10:40:00Z,NA,NA,46,20,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-07,10:43:00,2014-07-07T10:43:00Z,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-09,03:40:00,2014-07-09T03:40:00Z,13.3,NA,NA,NA,NA,40.4,10075,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-09,03:43:00,2014-07-09T03:43:00Z,NA,NA,92,140,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-09,03:46:00,2014-07-09T03:46:00Z,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-17,09:07:00,2014-07-17T09:07:00Z,NA,NA,2.9,41,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-17,09:10:00,2014-07-17T09:10:00Z,13.66,NA,NA,NA,NA,197.3,31972,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-17,09:25:00,2014-07-17T09:25:00Z,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-20,11:06:00,2014-07-20T11:06:00Z,14.26,NA,NA,NA,NA,107.4,37355,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-20,11:07:00,2014-07-20T11:07:00Z,NA,NA,17,20,NA,NA,NA,NA,NA,NA,NA
