site,date,time,datetime,water_temp_C,air_temp_C,fecal_coliform_cfu_100mL,enterococcus_mpn_100mL,pH,turbidity_NTU,conductivity_mS_cm,wind_velocity_kph,tide_range_m,weather_code_wmo4501,wind_direction_deg
South Kasilof Beach site 2,2014-07-06,10:35:00,2014-07-06T10:35:00Z,9.39,NA,NA,NA,NA,116.4,1284,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-06,10:36:00,2014-07-06T10:36:00Z,NA,NA,11,20,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-06,10:40:00,2014-07-06T10:40:00Z,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-13,05:20:00,2014-07-13T05:20:00Z,12.6,NA,NA,NA,NA,NA,31660,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-13,05:22:00,2014-07-13T05:22:00Z,NA,NA,210,500,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-13,05:22:00,2014-07-13T05:22:00Z,NA,NA,290,430,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-20,10:50:00,2014-07-20T10:50:00Z,NA,NA,26,10,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-20,10:51:00,2014-07-20T10:51:00Z,10.9,18.5,NA,NA,NA,115.8,220.5,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-27,06:38:00,2014-07-27T06:38:00Z,14.58,NA,NA,NA,NA,13.6,5334,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-27,06:40:00,2014-07-27T06:40:00Z,NA,NA,120,10,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-27,06:40:00,2014-07-27T06:40:00Z,NA,NA,80,20,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-27,06:46:00,2014-07-27T06:46:00Z,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-08-03,10:04:00,2014-08-03T10:04:00Z,14.52,NA,NA,NA,NA,35.6,1353,NA,NA,NA,NA
South Kasilof Beach site 2,2014-08-03,10:05:00,2014-08-03T10:05:00Z,NA,NA,2.9,10,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-08-03,10:12:00,2014-08-03T10:12:00Z,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Kasilof Beach site 2,2014-07-13,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
