site,date,time,datetime,water_temp_C,air_temp_C,fecal_coliform_cfu_100mL,enterococcus_mpn_100mL,pH,turbidity_NTU,conductivity_mS_cm,wind_velocity_kph,tide_range_m,weather_code_wmo4501,wind_direction_deg
South Kenai Beach site 2,2012-06-25,05:48:00,2012-06-25T05:48:00Z,11.4,10.555555555555555,150,170,NA,NA,NA,NA,NA,NA,NA
South Kenai Beach site 2,2012-06-25,05:48:00,2012-06-25T05:48:00Z,11.4,10.555555555555555,140,170,NA,NA,NA,NA,NA,NA,NA
South Kenai Beach site 2,2012-06-27,07:33:00,2012-06-27T07:33:00Z,9.46,6.666666666666666,160,75,7.74,144.3,1969,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-09,04:30:00,2012-07-09T16:30:00Z,11,12.777777777777777,37,20,7.7,68.6,726.7,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-10,06:30:00,2012-07-10T06:30:00Z,10.16,6.666666666666666,290,200,7.76,452,10780,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-10,06:30:00,2012-07-10T06:30:00Z,10.16,6.666666666666666,200,110,7.76,452,10780,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-15,11:30:00,2012-07-15T11:30:00Z,9.19,12.222222222222221,100,52,8.03,130.1,409.2,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-18,12:15:00,2012-07-18T12:15:00Z,10.5,19.444444444444443,100,10,7.54,201.1,724.7,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-22,03:44:00,2012-07-22T03:44:00Z,12.09,14.444444444444445,69,98,7.83,922,25607,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-25,05:27:00,2012-07-25T05:27:00Z,10.05,7.777777777777778,51,20,7.9,287.1,1131,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-25,05:27:00,2012-07-25T05:27:00Z,10.05,7.777777777777778,37,20,7.9,287.1,1131,NA,NA,NA,NA
South Kenai Beach site 2,2012-07-29,10:45:00,2012-07-29T10:45:00Z,12.9,16.666666666666668,60,20,7.82,186.2,1543,NA,NA,NA,NA
South Kenai Beach site 2,2012-08-01,12:45:00,2012-08-01T12:45:00Z,10.4,13.333333333333332,100,62,7.35,77.6,681.4,NA,NA,NA,NA
South Kenai Beach site 2,2012-08-05,04:45:00,2012-08-05T04:45:00Z,11.73,11.11111111111111,230,330,7.64,1280,35562,NA,NA,NA,NA
South Kenai Beach site 2,2012-08-07,04:55:00,2012-08-07T04:55:00Z,10.52,8.333333333333334,8.6,20,7.54,26.6,8.065,NA,NA,NA,NA
South Kenai Beach site 2,2012-08-07,04:55:00,2012-08-07T04:55:00Z,10.52,8.333333333333334,17,31,7.54,26.6,8.065,NA,NA,NA,NA
South Kenai Beach site 2,2012-08-12,09:30:00,2012-08-12T09:30:00Z,12.1,15.555555555555555,8.6,10,7.89,27.6,469,NA,NA,NA,NA
South Kenai Beach site 2,2013-06-25,09:12:00,2013-06-25T09:12:00Z,11.4,12,360,52,8.21,103.7,21960,NA,NA,NA,NA
South Kenai Beach site 2,2013-06-30,07:21:00,2013-06-30T07:21:00Z,10.5,11,130,31,7.72,219.1,849.1,NA,NA,NA,NA
South Kenai Beach site 2,2013-06-30,07:23:00,2013-06-30T07:23:00Z,NA,NA,240,41,NA,NA,NA,NA,NA,NA,NA
South Kenai Beach site 2,2013-07-07,09:21:00,2013-07-07T09:21:00Z,9.1,11.11111111111111,260,210,8.17,337.5,683.9,NA,NA,NA,NA
South Kenai Beach site 2,2013-07-07,09:21:00,2013-07-07T09:21:00Z,9.1,11.11111111111111,470,340,8.17,337.5,683.9,NA,NA,NA,NA
South Kenai Beach site 2,2013-07-09,04:02:00,2013-07-09T04:02:00Z,NA,NA,49,52,NA,NA,NA,NA,NA,NA,NA
South Kenai Beach site 2,2013-07-09,09:12:00,2013-07-09T09:12:00Z,11.4,9,NA,NA,8.07,1270,34720,NA,NA,NA,NA
