datetime,fecal_coliform_cfu_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2010-05-27T22:00:00Z,5,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-08T20:46:00Z,63,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-08T21:04:00Z,58,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-08T21:05:00Z,85,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-08T21:13:00Z,72,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-09T20:48:00Z,60,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-09T20:50:00Z,140,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-09T21:07:00Z,69,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-09T21:21:00Z,80,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-09T21:22:00Z,92,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-10T20:53:00Z,220,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-10T21:02:00Z,140,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-10T21:04:00Z,120,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-10T21:17:00Z,130,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-11T20:47:00Z,63,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-11T20:48:00Z,49,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-11T21:03:00Z,150,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-11T21:17:00Z,170,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-11T21:18:00Z,100,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-14T21:10:00Z,80,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-14T21:11:00Z,46,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-14T21:23:00Z,43,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-14T21:24:00Z,60,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-14T21:31:00Z,63,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-15T21:21:00Z,84,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-15T21:22:00Z,92,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-15T21:33:00Z,170,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-16T21:45:00Z,43,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-16T21:56:00Z,60,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-16T21:57:00Z,40,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-17T21:26:00Z,11,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-17T21:34:00Z,5.7,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-17T21:43:00Z,31,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-18T21:40:00Z,8.6,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-19T21:03:00Z,23,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-19T21:13:00Z,50,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-20T21:02:00Z,27,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-20T21:17:00Z,31,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-20T21:26:00Z,37,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-07-20T21:27:00Z,57,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-01T20:53:00Z,160,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-01T21:05:00Z,110,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-01T21:06:00Z,100,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-02T21:09:00Z,53,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-02T21:11:00Z,75,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-02T21:12:00Z,76,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-02T21:24:00Z,49,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-03T21:25:00Z,20,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-03T21:26:00Z,9,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-03T21:34:00Z,26,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-03T21:44:00Z,23,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-03T21:45:00Z,31,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-03T21:46:00Z,20,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-04T21:10:00Z,39,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-04T21:11:00Z,31,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2010-08-04T21:24:00Z,45,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2011-07-06T22:15:00Z,37,North Kenai Beach,14.44444444,20270,7.57,12.96,NA,NA,NA,NA
2011-07-06T22:16:00Z,30,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2011-07-12T20:55:00Z,70,North Kenai Beach,12,725.3,7.97,12.47,NA,NA,NA,NA
2011-07-17T21:15:00Z,63,North Kenai Beach,14.5,12100,7.92,13.38,NA,NA,NA,NA
2011-07-20T21:10:00Z,17,North Kenai Beach,15.5,12.5,8.1,12.38,NA,NA,NA,NA
2011-07-24T20:45:00Z,250,North Kenai Beach,14,1382,7.8,13.3,NA,NA,NA,NA
2011-07-27T21:30:00Z,130,North Kenai Beach,17.65,1934,7.845,13.47,NA,NA,NA,NA
2011-07-31T22:00:00Z,90,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2011-08-02T21:40:00Z,220,North Kenai Beach,14,15904,7.96,13.8,NA,NA,NA,NA
2011-08-07T19:55:00Z,60,North Kenai Beach,11.1,678,8.3,10.5,NA,NA,NA,NA
2011-08-10T21:15:00Z,17,North Kenai Beach,16.9,774,8.1,11.1,NA,NA,NA,NA
2011-08-14T20:15:00Z,170,North Kenai Beach,15,11276,7.86,12.24,NA,NA,NA,NA
2011-10-03T20:45:00Z,17,North Kenai Beach,3.3,39297,7.83,8.8,NA,NA,NA,NA
2012-06-25T06:30:00Z,160,North Kenai Beach,11.11111111,NA,NA,10.7,NA,NA,NA,NA
2012-06-27T08:09:00Z,11,North Kenai Beach,8.888888889,6238,7.73,10.6,NA,NA,NA,NA
2012-07-09T16:30:00Z,14,North Kenai Beach,11,280.5,NA,10.76,NA,NA,NA,NA
2012-07-09T16:35:00Z,17,North Kenai Beach,11,474.8,7.63,10.78,NA,NA,NA,NA
2012-07-10T07:25:00Z,8.6,North Kenai Beach,10.55555556,26000,7.42,10.7,NA,NA,NA,NA
2012-07-15T12:15:00Z,2.9,North Kenai Beach,12.22222222,1130,7.54,9.54,NA,NA,NA,NA
2012-07-15T12:30:00Z,37,North Kenai Beach,12.22222222,13223,7.73,11.02,NA,NA,NA,NA
2012-07-18T13:15:00Z,46,North Kenai Beach,20,811.7,7.75,11.11,NA,NA,NA,NA
2012-07-22T04:25:00Z,11,North Kenai Beach,12.77777778,36513,7.93,12.1,NA,NA,NA,NA
2012-07-22T04:30:00Z,8.6,North Kenai Beach,12.77777778,37096,7.97,12.13,NA,NA,NA,NA
2012-07-25T06:10:00Z,8.6,North Kenai Beach,8.888888889,6400,7.8,9.36,NA,NA,NA,NA
2012-07-29T11:27:00Z,2.9,North Kenai Beach,16.66666667,8147,8.07,16.65,NA,NA,NA,NA
2012-07-29T11:35:00Z,14,North Kenai Beach,16.66666667,12039,8.07,14.64,NA,NA,NA,NA
2012-08-01T13:37:00Z,60,North Kenai Beach,16.66666667,4847,7.84,12.99,NA,NA,NA,NA
2012-08-05T05:38:00Z,2.9,North Kenai Beach,9.444444444,38439,7.99,12.03,NA,NA,NA,NA
2012-08-07T05:35:00Z,2.9,North Kenai Beach,8.888888889,31363,7.65,11.67,NA,NA,NA,NA
2012-08-07T05:50:00Z,2.9,North Kenai Beach,8.888888889,35668,7.96,11.89,NA,NA,NA,NA
2012-08-12T10:30:00Z,12,North Kenai Beach,15,675.9,8.04,12.26,NA,NA,NA,NA
2013-06-19T10:26:00Z,8.6,North Kenai Beach,15,1047,7.5,14.3,NA,NA,NA,NA
2013-06-19T10:36:00Z,43,North Kenai Beach,15,3141,8.05,15.1,NA,NA,NA,NA
2013-06-23T09:02:00Z,11,North Kenai Beach,14.5,6587,8.12,8.5,NA,NA,NA,NA
2013-06-25T10:10:00Z,11,North Kenai Beach,17,14770,8.03,11.2,NA,NA,NA,NA
2013-06-25T10:11:00Z,5.7,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-30T08:01:00Z,330,North Kenai Beach,12,5930,7.91,10.7,NA,NA,NA,NA
2013-06-30T08:09:00Z,40,North Kenai Beach,12,28989,8.01,11.2,NA,NA,NA,NA
2013-07-07T10:05:00Z,23,North Kenai Beach,11.11111111,2567,7.88,9.3,NA,NA,NA,NA
2013-07-07T10:15:00Z,31,North Kenai Beach,11.11111111,3015,7.88,9.3,NA,NA,NA,NA
2013-07-09T04:48:00Z,8.6,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
