datetime,fecal_coliform_cfu_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2012-06-25T05:48:00Z,150,South Kenai Beach,10.555555555555555,NA,NA,11.4,NA,NA,NA,NA
2012-06-27T07:33:00Z,160,South Kenai Beach,6.666666666666666,1969,7.74,9.46,NA,NA,NA,NA
2012-07-09T16:30:00Z,37,South Kenai Beach,12.777777777777777,726.7,7.7,11,NA,NA,NA,NA
2012-07-10T06:30:00Z,290,South Kenai Beach,6.666666666666666,10780,7.76,10.16,NA,NA,NA,NA
2012-07-10T06:45:00Z,88,South Kenai Beach,6.666666666666666,8852,7.83,10.29,NA,NA,NA,NA
2012-07-15T11:30:00Z,100,South Kenai Beach,12.222222222222221,409.2,8.03,9.19,NA,NA,NA,NA
2012-07-18T12:15:00Z,100,South Kenai Beach,19.444444444444443,724.7,7.54,10.5,NA,NA,NA,NA
2012-07-18T12:30:00Z,170,South Kenai Beach,19.444444444444443,640.1,7.55,10.26,NA,NA,NA,NA
2012-07-22T03:44:00Z,69,South Kenai Beach,14.444444444444445,25607,7.83,12.09,NA,NA,NA,NA
2012-07-25T05:27:00Z,51,South Kenai Beach,7.777777777777778,1131,7.9,10.05,NA,NA,NA,NA
2012-07-25T05:35:00Z,31,South Kenai Beach,7.777777777777778,1519,7.82,10.02,NA,NA,NA,NA
2012-07-29T10:45:00Z,60,South Kenai Beach,16.666666666666668,1543,7.82,12.9,NA,NA,NA,NA
2012-08-01T12:45:00Z,100,South Kenai Beach,13.333333333333332,681.4,7.35,10.4,NA,NA,NA,NA
2012-08-01T13:07:00Z,140,South Kenai Beach,15,397.1,7.5,10.68,NA,NA,NA,NA
2012-08-05T04:45:00Z,230,South Kenai Beach,11.11111111111111,35562,7.64,11.73,NA,NA,NA,NA
2012-08-05T05:03:00Z,100,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-07T04:55:00Z,17,South Kenai Beach,8.333333333333334,8.065,7.54,10.52,NA,NA,NA,NA
2012-08-12T09:30:00Z,8.6,South Kenai Beach,15.555555555555555,469,7.89,12.1,NA,NA,NA,NA
2012-08-12T09:55:00Z,180,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-19T09:47:00Z,37,South Kenai Beach,15,1100,7.45,13.9,NA,NA,NA,NA
2013-06-23T08:23:00Z,26,South Kenai Beach,12,15915,8.1,9.2,NA,NA,NA,NA
2013-06-23T08:25:00Z,51,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-25T09:12:00Z,360,South Kenai Beach,12,21960,8.21,11.4,NA,NA,NA,NA
2013-06-25T09:24:00Z,670,South Kenai Beach,12.5,22116,8.25,11.3,NA,NA,NA,NA
2013-06-30T07:21:00Z,130,South Kenai Beach,11,849.1,7.72,10.5,NA,NA,NA,NA
2013-06-30T07:23:00Z,240,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-07T09:21:00Z,470,South Kenai Beach,11.11111111111111,683.9,8.17,9.1,NA,NA,NA,NA
2013-07-09T04:02:00Z,49,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-09T04:18:00Z,77,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-10T09:20:00Z,190,South Kenai Beach,13,11406,8.09,10.1,NA,NA,NA,NA
2013-07-10T09:45:00Z,100,South Kenai Beach,14.5,8848,8.1,10,NA,NA,NA,NA
2013-07-14T06:03:00Z,180,South Kenai Beach,11,21940,8.05,12.2,NA,NA,NA,NA
2013-07-16T08:44:00Z,330,South Kenai Beach,11,8367,7.98,12.5,NA,NA,NA,NA
2013-07-16T09:03:00Z,57,South Kenai Beach,NA,30996,8.05,12.8,NA,NA,NA,NA
2013-07-21T04:46:00Z,370,South Kenai Beach,8,35200,8.09,13.8,NA,NA,NA,NA
2013-07-24T07:06:00Z,1200,South Kenai Beach,12,35560,8.13,13.9,NA,NA,NA,NA
2013-07-24T07:16:00Z,74,South Kenai Beach,13,35374,8.15,14.1,NA,NA,NA,NA
2013-07-28T07:40:00Z,23,South Kenai Beach,13,35008,8.13,14.2,NA,NA,NA,NA
2013-07-31T09:42:00Z,91,South Kenai Beach,13.5,358.8,8.21,13.8,NA,NA,NA,NA
2013-07-31T10:00:00Z,57,South Kenai Beach,17.5,609.5,8.07,13.9,NA,NA,NA,NA
2013-08-04T10:12:00Z,100,South Kenai Beach,14,576.2,7.87,13.5,NA,NA,NA,NA
2013-08-06T10:15:00Z,320,South Kenai Beach,15,399.4,8,12.9,NA,NA,NA,NA
2013-08-06T10:35:00Z,120,South Kenai Beach,15,389.8,8.02,12.8,NA,NA,NA,NA
2013-08-11T05:02:00Z,100,South Kenai Beach,8,34396,7.84,12.4,NA,NA,NA,NA
2014-07-07T09:36:00Z,150,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-09T04:23:00Z,550,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-13T06:54:00Z,2000,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-13T07:12:00Z,43,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-17T10:35:00Z,150,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-17T10:54:00Z,92,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-20T11:49:00Z,11,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T05:07:00Z,160,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T05:19:00Z,280,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T12:18:00Z,66,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-27T07:18:00Z,1100,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-27T07:32:00Z,220,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-29T08:05:00Z,46,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-04T09:55:00Z,88,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-04T10:02:00Z,14,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-06T10:29:00Z,220,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-14T07:50:00Z,6100,South Kenai Beach,8.88888888888889,NA,NA,11.2,NA,NA,NA,NA
2018-06-29T08:35:00Z,275,South Kenai Beach,11.11111111111111,NA,NA,10,3.6576000000000004,6.437376,NA,NA
2018-07-03T07:45:00Z,200,South Kenai Beach,12.222222222222221,NA,NA,11.7,5.486400000000001,0,NA,NA
2018-07-13T07:00:00Z,1010,South Kenai Beach,9.444444444444445,NA,NA,12,4.572,8.04672,NA,NA
2018-07-18T08:45:00Z,18,South Kenai Beach,8.88888888888889,NA,NA,12.8,6.096,4.828032,NA,NA
2018-07-25T09:00:00Z,200,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T10:00:00Z,250,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T11:00:00Z,280,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T12:00:00Z,179,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T13:00:00Z,44,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T14:00:00Z,230,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T15:00:00Z,108,South Kenai Beach,NA,NA,NA,14.2,4.2672,24.14016,NA,NA
2018-07-25T16:00:00Z,30,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T17:00:00Z,44,South Kenai Beach,NA,NA,NA,14.2,5.486400000000001,11.265408,NA,NA
2018-07-25T18:00:00Z,37,South Kenai Beach,NA,NA,NA,13.9,4.4196,11.265408,NA,NA
2018-07-25T19:00:00Z,86,South Kenai Beach,NA,NA,NA,14.1,3.3528000000000002,11.265408,NA,NA
2018-07-25T20:00:00Z,250,South Kenai Beach,NA,NA,NA,13.8,2.4384,8.04672,NA,NA
2018-07-25T21:00:00Z,660,South Kenai Beach,NA,NA,NA,13.8,1.524,8.04672,NA,NA
2018-07-25T22:00:00Z,680,South Kenai Beach,NA,NA,NA,13.3,2.1336,8.04672,NA,NA
2018-07-25T23:00:00Z,290,South Kenai Beach,NA,NA,NA,13.3,5.486400000000001,4.828032,NA,NA
2018-07-26T00:00:00Z,380,South Kenai Beach,13.333333333333332,NA,NA,13.4,3.5052000000000003,3.218688,NA,NA
2018-07-26T01:00:00Z,270,South Kenai Beach,13.333333333333332,NA,NA,13.1,4.2672,4.828032,NA,NA
2018-07-26T02:00:00Z,22,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T03:00:00Z,23,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T04:00:00Z,158,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T05:00:00Z,202,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T06:00:00Z,330,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T07:00:00Z,320,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T08:00:00Z,310,South Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-02T07:45:00Z,22,South Kenai Beach,11.666666666666666,NA,NA,13.7,5.3340000000000005,4.828032,NA,NA
2018-08-10T05:22:00Z,820,South Kenai Beach,6.111111111111111,NA,NA,13.6,6.096,0,NA,NA
2018-08-15T08:10:00Z,32,South Kenai Beach,6.666666666666666,NA,NA,12.2,6.4008,1.609344,NA,NA
2018-08-24T08:30:00Z,280,South Kenai Beach,12.777777777777777,NA,NA,11,1.8288000000000002,8.04672,NA,NA
2018-08-29T08:45:00Z,48,South Kenai Beach,3.888888888888889,NA,NA,11.6,4.2672,4.828032,NA,NA
2018-09-07T07:10:00Z,58,South Kenai Beach,11.11111111111111,NA,NA,12,2.1336,4.828032,NA,NA
2019-05-21T07:28:00Z,8,South Kenai Beach,7.222222222222222,NA,NA,8.3,5.638800000000001,22.530816,225,NA
2019-05-29T05:38:00Z,25,South Kenai Beach,7.222222222222222,NA,NA,9.2,2.923032,4.828032,45,NA
2019-06-04T07:12:00Z,9,South Kenai Beach,9.444444444444445,NA,NA,10.3,5.315712,14.484096000000001,180,NA
2019-06-11T10:46:00Z,5,South Kenai Beach,15,NA,NA,13.1,NA,11.280648000000001,135,NA
2019-06-18T08:40:00Z,84,South Kenai Beach,11.666666666666666,NA,NA,11.6,5.2486559999999995,22.530816,180,NA
2019-06-25T09:05:00Z,26,South Kenai Beach,10.555555555555555,NA,NA,14.8,3.462528,19.312128,135,NA
2019-07-02T05:45:00Z,141,South Kenai Beach,NA,NA,NA,15,NA,NA,NA,NA
2019-07-09T08:45:00Z,90,South Kenai Beach,16.11111111111111,NA,NA,16.1,5.556504,11.265408,225,NA
2019-07-17T07:45:00Z,380,South Kenai Beach,11.11111111111111,NA,NA,13.9,4.968240000000001,4.828032,225,NA
2019-07-23T10:10:00Z,80,South Kenai Beach,14.444444444444445,NA,NA,15.7,4.25196,19.312128,225,NA
2019-08-01T08:17:00Z,324,South Kenai Beach,12.222222222222221,NA,NA,14.6,5.614416000000001,9.656064,135,NA
2019-08-06T09:10:00Z,7,South Kenai Beach,18.333333333333332,NA,NA,16.1,6.702552,16.09344,180,NA
2019-08-20T08:13:00Z,76,South Kenai Beach,6.111111111111111,NA,NA,14.1,5.443728,0,270,NA
2019-09-04T08:49:00Z,4,South Kenai Beach,11.666666666666666,NA,NA,13.1,7.296912000000001,11.265408,180,NA
2020-05-26T07:20:00Z,4,South Kenai Beach,6,NA,NA,8.1,1.322832,7.4029824,120,0.35559999999999997
2020-06-04T05:40:00Z,69,South Kenai Beach,7,NA,NA,9.6,1.7861280000000002,18.52354944,170,0.762
2020-06-09T07:38:00Z,7.7,South Kenai Beach,8,NA,NA,9.8,1.4721840000000002,12.971312640000003,210,0.4191
2020-06-18T05:44:00Z,46,South Kenai Beach,7,NA,NA,11.8,2.185416,5.552236800000001,30,0.1016
2020-06-23T07:45:00Z,43,South Kenai Beach,9,NA,NA,12.2,2.7371040000000004,9.253728,160,0.3302
2020-06-29T10:10:00Z,5.7,South Kenai Beach,13,NA,NA,12.6,1.72212,35.18025984,190,0.4572
2020-07-07T06:45:00Z,13,South Kenai Beach,12.2,NA,NA,13.6,2.7675840000000003,0,NA,0.17779999999999999
2020-07-13T09:45:00Z,600,South Kenai Beach,15,NA,NA,13.7,1.362456,16.67280384,20,0.1016
2020-07-20T07:45:00Z,196,South Kenai Beach,14,NA,NA,13.1,2.688336,7.4029824,140,0.0127
2020-07-27T08:50:00Z,8.6,South Kenai Beach,15,NA,NA,14,1.901952,9.253728,180,0.1016
2020-08-05T08:10:00Z,184,South Kenai Beach,14,NA,NA,14.5,2.700528,14.822058240000002,210,0.0508
2020-08-11T05:58:00Z,17,South Kenai Beach,11,NA,NA,11.8,1.4599920000000002,5.552236800000001,130,5.334000000000001e-4
2020-08-18T08:15:00Z,133,South Kenai Beach,13,NA,NA,14.5,2.7371040000000004,11.120567040000001,210,0
